athlete_full_name,athlete_url,sex,height,weight,NOC,NOC_code
Gwang Hyun KIM,https://olympics.com/en/athletes/gwang-hyun-kim,Male,187 cm,83 kg,Republic of Korea,KOR
Shi-Jian ZHAO,https://olympics.com/en/athletes/shi-jian-zhao,Male,183 cm,80 kg,People's Republic of China,CHN
Mark HUCK,https://olympics.com/en/athletes/mark-huck,Male,182 cm,82 kg,United States,USA
Bryan CARBIS,https://olympics.com/en/athletes/bryan-carbis,Male,182 cm,75 kg,Great Britain,GBR
Wei LI,https://olympics.com/en/athletes/wei-li-2,Male,178 cm,73 kg,Singapore,SGP
Valentina LALENKOVA,https://olympics.com/en/athletes/valentina-lalenkova,Female,173 cm,68 kg,Soviet Union,URS
Lydia STEPHANS,https://olympics.com/en/athletes/lydia-stephans,Female,160 cm,57 kg,United States,USA
Gum Yeen PAK,https://olympics.com/en/athletes/gum-yeen-pak,,,,,
Björg Eva JENSEN,https://olympics.com/en/athletes/bjorg-eva-jensen,Female,175 cm,66 kg,Norway,NOR
Kyung-Ja LEE,https://olympics.com/en/athletes/kyung-ja-lee,Female,165 cm,56 kg,Republic of Korea,KOR
Kai Arne ENGELSTAD,https://olympics.com/en/athletes/kai-arne-engelstad,Male,180 cm,75 kg,Norway,NOR
Sergey KHLEBNIKOV,https://olympics.com/en/athletes/sergey-khlebnikov,Male,182 cm,90 kg,Soviet Union,URS
Andreas DIETEL,https://olympics.com/en/athletes/andreas-dietel,Male,183 cm,75 kg,East Germany,GDR
Viktor CHACHERINE,https://olympics.com/en/athletes/viktor-chacherine,Male,,,Soviet Union,URS
Jouko VESTERLUND,https://olympics.com/en/athletes/jouko-vesterlund,Male,180 cm,79 kg,Finland,FIN
Pavel PEGOV,https://olympics.com/en/athletes/pavel-pegov,Male,180 cm,80 kg,Soviet Union,URS
Urpo PIKKUPEURA,https://olympics.com/en/athletes/urpo-pikkupeura,Male,192 cm,93 kg,Finland,FIN
Jacques THIBAULT,https://olympics.com/en/athletes/jacques-thibault,Male,,,Canada,CAN
